id_documento,texto
14,O sucesso da beleza brasileira atravessou o Atlântico e conquistou o mundo.
34,Rosiane e Lucas É sempre muito prazeroso quando acompanhamos histórias de amor.
58,"Vagas Urgente: Produto em Estrela, RS - Outubro de 2023."
38,"Aberto Processo Seletivo da UEMA, destinado à contratação de professores."
12,Menor apreendido com drogas em Caririaçu e outros crimes na região.
9,"A volta dos conjuntinhos! Mesmo estando careca, a moda se reinventa."
39,"Para os amantes de scooters, a Honda lança a ADV no mercado nacional."
25,Xanadu snowzone aniversários ruteador alcatel e soluções de rede.
37,"Leo Cordeiro Fotografia - Opiniões, Fotos e Telefone de contato."
16,Aula de Dança Acrobática Valor Louveira - Escola de Artes.
14,O sucesso da beleza brasileira atravessou o Atlântico e conquistou o mundo.
34,Rosiane e Lucas É sempre muito prazeroso quando acompanhamos histórias de amor.
58,"Vagas Urgente: Produto em Estrela, RS - Outubro de 2023."
38,"Aberto Processo Seletivo da UEMA, destinado à contratação de professores."
12,Menor apreendido com drogas em Caririaçu e outros crimes na região.
9,"A volta dos conjuntinhos! Mesmo estando careca, a moda se reinventa."
39,"Para os amantes de scooters, a Honda lança a ADV no mercado nacional."
25,Xanadu snowzone aniversários ruteador alcatel e soluções de rede.
37,"Leo Cordeiro Fotografia - Opiniões, Fotos e Telefone de contato."
16,Aula de Dança Acrobática Valor Louveira - Escola de Artes.
14,O sucesso da beleza brasileira atravessou o Atlântico e conquistou o mundo.
34,Rosiane e Lucas É sempre muito prazeroso quando acompanhamos histórias de amor.
58,"Vagas Urgente: Produto em Estrela, RS - Outubro de 2023."
38,"Aberto Processo Seletivo da UEMA, destinado à contratação de professores."
12,Menor apreendido com drogas em Caririaçu e outros crimes na região.
9,"A volta dos conjuntinhos! Mesmo estando careca, a moda se reinventa."
39,"Para os amantes de scooters, a Honda lança a ADV no mercado nacional."
25,Xanadu snowzone aniversários ruteador alcatel e soluções de rede.
37,"Leo Cordeiro Fotografia - Opiniões, Fotos e Telefone de contato."
16,Aula de Dança Acrobática Valor Louveira - Escola de Artes.
14,O sucesso da beleza brasileira atravessou o Atlântico e conquistou o mundo.
34,Rosiane e Lucas É sempre muito prazeroso quando acompanhamos histórias de amor.
58,"Vagas Urgente: Produto em Estrela, RS - Outubro de 2023."
38,"Aberto Processo Seletivo da UEMA, destinado à contratação de professores."
12,Menor apreendido com drogas em Caririaçu e outros crimes na região.
9,"A volta dos conjuntinhos! Mesmo estando careca, a moda se reinventa."
39,"Para os amantes de scooters, a Honda lança a ADV no mercado nacional."
25,Xanadu snowzone aniversários ruteador alcatel e soluções de rede.
37,"Leo Cordeiro Fotografia - Opiniões, Fotos e Telefone de contato."
16,Aula de Dança Acrobática Valor Louveira - Escola de Artes.
82,Último registro de teste para validação do pipeline de dados textuais.
